2026-01-13 04:34:50;IA-2;DRAW;DoubleSidedCard;DRAW_ONE
2026-01-13 04:34:50;IA-3;DRAW;DoubleSidedCard;THREE
2026-01-13 04:34:50;SYSTEM;SETUP_CARD_FLIPPED;DoubleSidedCard;Starting Color: WILD
2026-01-13 04:34:58;IA-2;DRAW;DoubleSidedCard;WILD_DRAW_TWO
2026-01-13 04:34:58;IA-2;PLAY;DoubleSidedCard;WILD_DRAW_TWO
2026-01-13 04:34:58;IA-3;DRAW;DoubleSidedCard;ONE
2026-01-13 04:34:58;IA-3;DRAW;DoubleSidedCard;FLIP
2026-01-13 04:34:58;IA-2;SET_COLOR;N/A;BLUE
2026-01-13 04:35:07;Giocatore 1;PLAY;DoubleSidedCard;WILD
2026-01-13 04:35:10;Giocatore 1;SET_COLOR;N/A;YELLOW
2026-01-13 04:35:15;IA-1;PLAY;DoubleSidedCard;SIX
2026-01-13 04:35:20;IA-2;PLAY;DoubleSidedCard;REVERSE
2026-01-13 04:35:25;IA-1;PLAY;DoubleSidedCard;REVERSE
2026-01-13 04:35:30;IA-2;PLAY;DoubleSidedCard;FOUR
2026-01-13 04:35:35;IA-3;PLAY;DoubleSidedCard;FIVE
2026-01-13 04:35:40;Giocatore 1;DRAW;DoubleSidedCard;TWO
2026-01-13 04:35:41;Giocatore 1;PLAY;DoubleSidedCard;TWO
2026-01-13 04:35:46;IA-1;PLAY;DoubleSidedCard;WILD_DRAW_TWO
2026-01-13 04:35:46;IA-2;DRAW;DoubleSidedCard;TWO
2026-01-13 04:35:46;IA-2;DRAW;DoubleSidedCard;NINE
2026-01-13 04:35:46;IA-1;SET_COLOR;N/A;GREEN
2026-01-13 04:35:51;IA-3;PLAY;DoubleSidedCard;REVERSE
2026-01-13 04:35:56;IA-2;PLAY;DoubleSidedCard;FOUR
2026-01-13 04:36:01;IA-1;PLAY;DoubleSidedCard;SEVEN
2026-01-13 04:36:04;Giocatore 1;PLAY;DoubleSidedCard;SEVEN
2026-01-13 04:36:09;IA-3;PLAY;DoubleSidedCard;SKIP
2026-01-13 04:36:14;IA-1;PLAY;DoubleSidedCard;FOUR
2026-01-13 04:36:23;Giocatore 1;PLAY;DoubleSidedCard;FLIP
2026-01-13 04:36:28;IA-3;PLAY;DoubleSidedCard;WILD_DARK
2026-01-13 04:36:28;IA-3;SET_COLOR;N/A;PURPLE
2026-01-13 04:36:33;IA-2;PLAY;DoubleSidedCard;FIVE
2026-01-13 04:36:38;IA-1;DRAW;DoubleSidedCard;WILD_DRAW_COLOR
2026-01-13 04:36:38;IA-1;PLAY;DoubleSidedCard;WILD_DRAW_COLOR
2026-01-13 04:36:38;IA-1;SET_COLOR;N/A;TEAL
2026-01-13 04:36:43;IA-3;DRAW;DoubleSidedCard;FLIP
2026-01-13 04:36:43;IA-3;PASS_TURN;N/A;HandSize: 6
2026-01-13 04:36:48;IA-2;PLAY;DoubleSidedCard;DRAW_FIVE
2026-01-13 04:36:48;IA-1;DRAW;DoubleSidedCard;DRAW_FIVE
2026-01-13 04:36:48;IA-1;DRAW;DoubleSidedCard;DRAW_FIVE
2026-01-13 04:36:48;IA-1;DRAW;DoubleSidedCard;SEVEN
2026-01-13 04:36:48;IA-1;DRAW;DoubleSidedCard;SEVEN
2026-01-13 04:36:48;IA-1;DRAW;DoubleSidedCard;FOUR
2026-01-13 04:36:53;Giocatore 1;PLAY;DoubleSidedCard;SKIP_EVERYONE
2026-01-13 04:36:58;Giocatore 1;PLAY;DoubleSidedCard;SKIP_EVERYONE
2026-01-13 04:36:59;Giocatore 1;PLAY;DoubleSidedCard;WILD_DARK
2026-01-13 04:37:00;Giocatore 1;SET_COLOR;N/A;ORANGE
2026-01-13 04:37:05;IA-3;DRAW;DoubleSidedCard;SIX
2026-01-13 04:37:05;IA-3;PASS_TURN;N/A;HandSize: 7
2026-01-13 04:37:10;IA-2;PLAY;DoubleSidedCard;REVERSE
2026-01-13 04:37:15;IA-3;DRAW;DoubleSidedCard;ONE
2026-01-13 04:37:15;IA-3;PASS_TURN;N/A;HandSize: 8
2026-01-13 04:37:18;Giocatore 1;PLAY;DoubleSidedCard;SIX
2026-01-13 04:37:18;Giocatore 1;CALL_UNO_SUCCESS;N/A;HandSize: 1
2026-01-13 04:37:23;IA-1;PLAY;DoubleSidedCard;FLIP
2026-01-13 04:37:28;IA-2;PLAY;DoubleSidedCard;NINE
2026-01-13 04:37:33;IA-3;PLAY;DoubleSidedCard;THREE
2026-01-13 04:37:35;Giocatore 1;DRAW;DoubleSidedCard;EIGHT
2026-01-13 04:37:36;Giocatore 1;PASS_TURN;N/A;HandSize: 2
2026-01-13 04:37:41;IA-1;PLAY;DoubleSidedCard;FIVE
2026-01-13 04:37:46;IA-2;DRAW;DoubleSidedCard;EIGHT
2026-01-13 04:37:46;IA-2;PASS_TURN;N/A;HandSize: 3
2026-01-13 04:37:51;IA-3;DRAW;DoubleSidedCard;WILD
2026-01-13 04:37:51;IA-3;PLAY;DoubleSidedCard;WILD
2026-01-13 04:37:51;IA-3;SET_COLOR;N/A;RED
2026-01-13 04:37:53;Giocatore 1;PLAY;DoubleSidedCard;FOUR
2026-01-13 04:37:54;Giocatore 1;CALL_UNO_SUCCESS;N/A;HandSize: 1
2026-01-13 04:37:58;IA-1;PLAY;DoubleSidedCard;SKIP
2026-01-13 04:38:03;IA-3;PLAY;DoubleSidedCard;ONE
2026-01-13 04:38:11;Giocatore 1;DRAW;DoubleSidedCard;THREE
2026-01-13 04:38:17;Giocatore 1;PASS_TURN;N/A;HandSize: 2
2026-01-13 04:38:22;IA-1;DRAW;DoubleSidedCard;ONE
2026-01-13 04:38:22;IA-1;PLAY;DoubleSidedCard;ONE
2026-01-13 04:38:27;IA-2;PLAY;DoubleSidedCard;EIGHT
2026-01-13 04:38:32;IA-3;PLAY;DoubleSidedCard;TWO
2026-01-13 04:38:33;Giocatore 1;DRAW;DoubleSidedCard;DRAW_ONE
2026-01-13 04:38:33;Giocatore 1;PLAY;DoubleSidedCard;DRAW_ONE
2026-01-13 04:38:33;IA-1;DRAW;DoubleSidedCard;FLIP
2026-01-13 04:38:38;IA-2;PLAY;DoubleSidedCard;DRAW_ONE
2026-01-13 04:38:38;IA-3;DRAW;DoubleSidedCard;SEVEN
2026-01-13 04:38:38;IA-2;CALL_UNO_SUCCESS;N/A;HandSize: 1
2026-01-13 04:38:40;Giocatore 1;PLAY;DoubleSidedCard;EIGHT
2026-01-13 04:38:40;Giocatore 1;CALL_UNO_SUCCESS;N/A;HandSize: 1
2026-01-13 04:38:45;IA-1;DRAW;DoubleSidedCard;DRAW_ONE
2026-01-13 04:38:45;IA-1;PASS_TURN;N/A;HandSize: 6
2026-01-13 04:38:50;IA-2;PLAY;DoubleSidedCard;FOUR
2026-01-13 04:38:50;SYSTEM;GAME_OVER;N/A;Winner: IA-2
